epoch,TrainLoss,ValidLoss,ValidAcc,TrainTime,ValidTime
1,1.3228,1.0286,0.6420,0:00:50,0:00:04
2,0.8565,0.7025,0.7372,0:00:52,0:00:05
3,0.6762,0.6737,0.7557,0:00:53,0:00:05
4,0.6044,0.6780,0.7528,0:00:53,0:00:05
5,0.5636,0.6668,0.7585,0:00:53,0:00:05
